Cep,Rua,Complemento,Bairro,Cidade
38406-388,Alameda Um,,Aclimação,Uberlândia/MG
38406-382,Avenida Aniceto Maccheroni,,Aclimação,Uberlândia/MG
38406-052,Avenida Sebastião Manoel Barbosa,,Aclimação,Uberlândia/MG
38406-016,Avenida Sete,,Aclimação,Uberlândia/MG
38406-010,Córrego do Buriti,,Aclimação,Uberlândia/MG
38406-019,Praça Durval Gomes Xavier,,Aclimação,Uberlândia/MG
38406-094,Rua Abnidis Borges,,Aclimação,Uberlândia/MG
38406-385,Rua Adhemar de Barros,,Aclimação,Uberlândia/MG
38406-061,Rua Ana Lucas de Almeida,,Aclimação,Uberlândia/MG
38406-064,Rua Antônio Francisco Rosa,,Aclimação,Uberlândia/MG
38406-020,Rua Antônio Jorge Hubaide,,Aclimação,Uberlândia/MG
38406-025,Rua Antônio Kavamoto,,Aclimação,Uberlândia/MG
38406-073,Rua Antônio Matos,,Aclimação,Uberlândia/MG
38406-031,Rua Artur de Barros,,Aclimação,Uberlândia/MG
38406-067,Rua Braz Sátiro de Souza,,Aclimação,Uberlândia/MG
38406-082,Rua Carolina Maria Ferreira,,Aclimação,Uberlândia/MG
38406-043,Rua Cláudio Ferreira de Abreu,,Aclimação,Uberlândia/MG
38406-097,Rua Cleomar de Souza,,Aclimação,Uberlândia/MG
38406-381,Rua dos Expedicionário,,Aclimação,Uberlândia/MG
38406-079,Rua Euclides Alves,,Aclimação,Uberlândia/MG
38406-178,Rua Euclides Ferreira Tavares,,Aclimação,Uberlândia/MG
38406-008,Rua Firmino Grama,,Aclimação,Uberlândia/MG
38406-394,Rua Gago Coutinho,,Aclimação,Uberlândia/MG
38406-034,Rua Geraldo Rodrigues de Queiroz,,Aclimação,Uberlândia/MG
38406-046,Rua Gonçalo Patrício Navarro Silveira,,Aclimação,Uberlândia/MG
38406-007,Rua Gustavo José da Silva,,Aclimação,Uberlândia/MG
38406-058,Rua Irmãos Maristas,,Aclimação,Uberlândia/MG
38406-085,Rua Jair Antônio Felipe,,Aclimação,Uberlândia/MG
38406-070,Rua João Pedro Ferreira,,Aclimação,Uberlândia/MG
38406-055,Rua João Vital Ferreira,,Aclimação,Uberlândia/MG
38406-028,Rua Joaquim Elias Rodrigues,,Aclimação,Uberlândia/MG
38406-384,Rua Joaquim Ferreira Cruz,,Aclimação,Uberlândia/MG
38406-076,Rua José Evaristo Gonçalves,,Aclimação,Uberlândia/MG
38406-037,Rua José Flores,,Aclimação,Uberlândia/MG
38406-091,Rua José Pedro,,Aclimação,Uberlândia/MG
38406-022,Rua Laurindo Ferreira da Fonseca,,Aclimação,Uberlândia/MG
38406-013,Rua Luiz Ferreira da Fonseca,,Aclimação,Uberlândia/MG
38406-049,Rua Mamede José Beicker,,Aclimação,Uberlândia/MG
38406-088,Rua Maria Pontes Magahães,,Aclimação,Uberlândia/MG
38406-391,Rua Mário Rezende do Vale,,Aclimação,Uberlândia/MG
38406-040,Rua Napoleão Luiz da Costa,,Aclimação,Uberlândia/MG
38406-380,Rua Rafael de Freitas,,Aclimação,Uberlândia/MG
38406-390,Rua Rubens Gil,,Aclimação,Uberlândia/MG
38406-396,Rua Sacadura Cabral,,Aclimação,Uberlândia/MG
38408-602,Rua Laranjeiras,,Altamira,Uberlândia/MG
38405-348,Avenida Afonso Pena,- de 5020/5021 ao fim,Alto Umuarama,Uberlândia/MG
38405-350,Avenida Cesário Alvim,- de 5100/5101 a 5598/5599,Alto Umuarama,Uberlândia/MG
38405-280,Avenida Dom Pedro II,,Alto Umuarama,Uberlândia/MG
38405-386,Avenida Doutor Vicente Salles Guimarães,,Alto Umuarama,Uberlândia/MG
38405-373,Avenida Floriano Peixoto,- de 5000/5001 a 5509/5510,Alto Umuarama,Uberlândia/MG
38405-346,Avenida João Pinheiro,- de 5001/5002 ao fim,Alto Umuarama,Uberlândia/MG
38405-371,Avenida Laerte Caetano da Silva,,Alto Umuarama,Uberlândia/MG
38405-383,Praça Cândida Rita dos Santos,,Alto Umuarama,Uberlândia/MG
38405-367,Praça Nicolau de Brito,,Alto Umuarama,Uberlândia/MG
38405-375,Praça Pedro Mendes da Silva,,Alto Umuarama,Uberlândia/MG
38405-363,Praça Sebastião de Brito,,Alto Umuarama,Uberlândia/MG
38405-452,Rua A,,Alto Umuarama,Uberlândia/MG
38405-381,Rua Adélia Miguel Abrahão,,Alto Umuarama,Uberlândia/MG
38405-378,Rua Adhemar de Freitas Macedo,,Alto Umuarama,Uberlândia/MG
38405-360,Rua Alberto Gomes,,Alto Umuarama,Uberlândia/MG
38405-357,Rua Alice de Freitas,,Alto Umuarama,Uberlândia/MG
38405-366,Rua Anisio Antônio de Carvalho,,Alto Umuarama,Uberlândia/MG
38405-387,Rua Antônio Andrade,,Alto Umuarama,Uberlândia/MG
38405-361,Rua Antônio Junqueira Resende,,Alto Umuarama,Uberlândia/MG
38405-474,Rua Arides Lemes da Silva,,Alto Umuarama,Uberlândia/MG
38405-273,Rua Barão de Cotegipe,- de 595/596 ao fim,Alto Umuarama,Uberlândia/MG
38405-276,Rua Carla Aparecida dos Santos,,Alto Umuarama,Uberlândia/MG
38405-377,Rua Cleusa Arli Alves,,Alto Umuarama,Uberlândia/MG
38405-279,Rua Conrado de Brito,- de 606/607 ao fim,Alto Umuarama,Uberlândia/MG
38405-354,Rua Coronel Branco,,Alto Umuarama,Uberlândia/MG
38405-480,Rua Damião Pereira,,Alto Umuarama,Uberlândia/MG
38405-369,Rua David Canabarro,,Alto Umuarama,Uberlândia/MG
38405-281,Rua Delfim Moreira,- de 500/501 ao fim,Alto Umuarama,Uberlândia/MG
38405-456,Rua Euclides da Cunha,- de 105/106 ao fim,Alto Umuarama,Uberlândia/MG
38405-362,Rua Francisco Bueno Monteiro,,Alto Umuarama,Uberlândia/MG
38405-352,Rua Francisco Candido Xavier,,Alto Umuarama,Uberlândia/MG
38405-380,Rua Ismael Gomes da Silva,,Alto Umuarama,Uberlândia/MG
38405-476,Rua Jarbas de Oliveira Soares,(Lot A Umuarama III),Alto Umuarama,Uberlândia/MG
38405-274,Rua João Hortêncio,,Alto Umuarama,Uberlândia/MG
38405-472,Rua João Nunes Ribeiro,,Alto Umuarama,Uberlândia/MG
38405-356,Rua Jornalista José Batista Coury,,Alto Umuarama,Uberlândia/MG
38405-353,Rua José Cecilio Domingos,,Alto Umuarama,Uberlândia/MG
38405-359,Rua José Ferreira Goulart,,Alto Umuarama,Uberlândia/MG
38405-368,Rua José Humberto Alcântara,,Alto Umuarama,Uberlândia/MG
38405-486,Rua JU3-06,(Lot A Umuarama III),Alto Umuarama,Uberlândia/MG
38405-278,Rua Laerte da Silva,,Alto Umuarama,Uberlândia/MG
38405-271,Rua Lúcia Virginia da Silva Nunes,,Alto Umuarama,Uberlândia/MG
38405-478,Rua Luiz Antônio Naves de Oliveira,(Lot A Umuarama III),Alto Umuarama,Uberlândia/MG
38405-449,Rua Luiz Gonzaga da Silva,,Alto Umuarama,Uberlândia/MG
38405-355,Rua Luiz Roberto Alcântara,,Alto Umuarama,Uberlândia/MG
38405-270,Rua Manoel Gomes dos Santos,,Alto Umuarama,Uberlândia/MG
38405-382,Rua Maria Alves Severiano,,Alto Umuarama,Uberlândia/MG
38405-379,Rua Maria Cristina Rodrigues,,Alto Umuarama,Uberlândia/MG
38405-358,Rua Maria José Durães,,Alto Umuarama,Uberlândia/MG
38405-374,Rua Olívia Cândia de Carvalho,,Alto Umuarama,Uberlândia/MG
38405-384,Rua Orcalino Severiano,,Alto Umuarama,Uberlândia/MG
38405-365,Rua Oril Caetano de Resende,,Alto Umuarama,Uberlândia/MG
38405-370,Rua Oscar Mendes de Lima,,Alto Umuarama,Uberlândia/MG
38405-351,Rua Osvaldo Martins de Freitas,,Alto Umuarama,Uberlândia/MG
38405-372,Rua Otaviano Pereira do Carmo,,Alto Umuarama,Uberlândia/MG
38405-450,Rua Otávio Rezende do Carmo,,Alto Umuarama,Uberlândia/MG
38405-283,Rua Paulo de Frontin,- de 440/441 ao fim,Alto Umuarama,Uberlândia/MG
38405-272,Rua Pedro Zanata,,Alto Umuarama,Uberlândia/MG
38405-277,Rua Prudente de Morais,- de 666/667 ao fim,Alto Umuarama,Uberlândia/MG
38405-364,Rua Ronan Mendonça Ribeiro,,Alto Umuarama,Uberlândia/MG
38405-483,Rua Sacadura Cabral,,Alto Umuarama,Uberlândia/MG
38405-376,Rua Seis-A,,Alto Umuarama,Uberlândia/MG
38405-455,Rua Terezina Segadães,- de 613/614 ao fim,Alto Umuarama,Uberlândia/MG
38405-275,Rua Visconde de Ouro Preto,- de 688/689 ao fim,Alto Umuarama,Uberlândia/MG
38438-899,Área Rural,,Área Rural de Uberlândia,Uberlândia/MG
38412-586,Avenida Bela Vista,,Bela Vista,Uberlândia/MG
38412-576,Avenida Nove,,Bela Vista,Uberlândia/MG
38412-580,Avenida Oito,,Bela Vista,Uberlândia/MG
38412-578,Avenida Sete,,Bela Vista,Uberlândia/MG
38412-588,Estrada Carroçável,,Bela Vista,Uberlândia/MG
38412-530,Praça Frei Fabiano,,Bela Vista,Uberlândia/MG
38412-550,Rua Aladim Bernardes,,Bela Vista,Uberlândia/MG
38412-556,Rua Aporé,,Bela Vista,Uberlândia/MG
38412-534,Rua Aquidauana,,Bela Vista,Uberlândia/MG
38412-518,Rua Araxá,,Bela Vista,Uberlândia/MG
38412-558,Rua Camapuã,,Bela Vista,Uberlândia/MG
38412-552,Rua Caxipó,,Bela Vista,Uberlândia/MG
38412-570,Rua Cinco,,Bela Vista,Uberlândia/MG
38412-520,Rua Colomi,,Bela Vista,Uberlândia/MG
38412-532,Rua Coxim,,Bela Vista,Uberlândia/MG
38412-510,Rua Cuité,,Bela Vista,Uberlândia/MG
38412-584,Rua Dez,,Bela Vista,Uberlândia/MG
38412-564,Rua Dois,,Bela Vista,Uberlândia/MG
38412-574,Rua Doze,,Bela Vista,Uberlândia/MG
38412-512,Rua Grão Mongol,,Bela Vista,Uberlândia/MG
38412-548,Rua Guapó,,Bela Vista,Uberlândia/MG
38412-554,Rua Ibiá,,Bela Vista,Uberlândia/MG
38412-516,Rua Itace,,Bela Vista,Uberlândia/MG
38412-566,Rua Itiocira,,Bela Vista,Uberlândia/MG
38412-528,Rua Jauru,,Bela Vista,Uberlândia/MG
38412-544,Rua Meriti,,Bela Vista,Uberlândia/MG
38412-582,Rua Nove,,Bela Vista,Uberlândia/MG
38412-506,Rua Nupotira,,Bela Vista,Uberlândia/MG
38412-572,Rua Oito,,Bela Vista,Uberlândia/MG
38412-524,Rua Onze,,Bela Vista,Uberlândia/MG
38412-536,Rua Pataguás,,Bela Vista,Uberlândia/MG
38412-538,Rua Poconé,,Bela Vista,Uberlândia/MG
38412-508,Rua Rosi-Meire Rodrigues de Paula Vasconcelos,,Bela Vista,Uberlândia/MG
38412-514,Rua Rubiataba,,Bela Vista,Uberlândia/MG
38412-560,Rua S,,Bela Vista,Uberlândia/MG
38412-542,Rua Seis,,Bela Vista,Uberlândia/MG
38412-590,Rua Sete,,Bela Vista,Uberlândia/MG
38412-522,Rua Taquari,,Bela Vista,Uberlândia/MG
38412-526,Rua Totiparu,,Bela Vista,Uberlândia/MG
38412-568,Rua Três,,Bela Vista,Uberlândia/MG
38412-540,Rua Treze,,Bela Vista,Uberlândia/MG
38412-562,Rua Um,,Bela Vista,Uberlândia/MG
38412-546,Rua Uruaçu,,Bela Vista,Uberlândia/MG
38400-753,Avenida Estrêla do Sul,- até 400/401,Bom Jesus,Uberlândia/MG
38400-752,Avenida Marciano de Ávila,,Bom Jesus,Uberlândia/MG
38400-754,Avenida Mauá,,Bom Jesus,Uberlândia/MG
38400-748,Avenida Monsenhor Eduardo,,Bom Jesus,Uberlândia/MG
38400-746,Avenida Professora Minervina Cândida Oliveira,- de 2231/2232 a 4499/4500,Bom Jesus,Uberlândia/MG
38400-333,Praça Alaor Rodrigues da Cunha,,Bom Jesus,Uberlândia/MG
38400-636,Rua Antônio Crescêncio,,Bom Jesus,Uberlândia/MG
38400-758,Rua Atílio Martinelli,,Bom Jesus,Uberlândia/MG
38400-642,Rua Belém,,Bom Jesus,Uberlândia/MG
38400-762,Rua Brasília,,Bom Jesus,Uberlândia/MG
38400-626,Rua Buriti Alegre,,Bom Jesus,Uberlândia/MG
38400-627,Rua Carneiro,,Bom Jesus,Uberlândia/MG
38400-625,Rua Costa Pereira,,Bom Jesus,Uberlândia/MG
38400-624,Rua Itumbiara,,Bom Jesus,Uberlândia/MG
38400-628,Rua Ivaldo Alves Nascimento,,Bom Jesus,Uberlândia/MG
38400-632,Rua Jataí,,Bom Jesus,Uberlândia/MG
38400-630,Rua Jerônimo Martins do Nascimento,,Bom Jesus,Uberlândia/MG
38400-631,Rua Monte Alegre,,Bom Jesus,Uberlândia/MG
38400-640,Rua Natal,- até 236/237,Bom Jesus,Uberlândia/MG
38400-634,Rua Niterói,,CEP Bom Jesus Uberlândia/MG,Uberlândia/MG
38400-639,Rua Niterói,- até 319/320,CEP Bom Jesus Uberlândia/MG,Uberlândia/MG
38400-769,Rua Niterói,- de 321/322 a 1556/1557,CEP Nossa Senhora Aparecida Uberlândia/MG,Uberlândia/MG
38405-178,Rua Niterói,- de 1558/1559 ao fim,CEP Tibery Uberlândia/MG,Uberlândia/MG
38400-633,Rua Prata,,Bom Jesus,Uberlândia/MG
38400-638,Rua Salvador,- até 349/350,Bom Jesus,Uberlândia/MG
38400-756,Rua Sebastião de Freitas,,Bom Jesus,Uberlândia/MG
38400-629,Rua Tupaciguara,,Bom Jesus,Uberlândia/MG
38400-686,Travessa João Donato,,Bom Jesus,Uberlândia/MG
38406-584,Alameda Andiroba,,Bosque dos Buritis,Uberlândia/MG
38406-564,Alameda Angelim do Cerrado,,Bosque dos Buritis,Uberlândia/MG
38406-586,Alameda Angico do Cerrado,,Bosque dos Buritis,Uberlândia/MG
38406-570,Alameda Babaçu,,Bosque dos Buritis,Uberlândia/MG
38406-574,Alameda Castanheiras,,Bosque dos Buritis,Uberlândia/MG
38406-580,Alameda Ecológica,,Bosque dos Buritis,Uberlândia/MG
38406-566,Alameda Fícus,,Bosque dos Buritis,Uberlândia/MG
38406-588,Alameda Imbuía,,Bosque dos Buritis,Uberlândia/MG
38406-596,Alameda Imburana,,Bosque dos Buritis,Uberlândia/MG
38406-590,Alameda Ipê Roxo,,Bosque dos Buritis,Uberlândia/MG
38406-594,Alameda Mulungu,,Bosque dos Buritis,Uberlândia/MG
38406-598,Alameda Murici do Cerrado,,Bosque dos Buritis,Uberlândia/MG
38406-572,Alameda Mutumba,,Bosque dos Buritis,Uberlândia/MG
38406-560,Alameda Paineira da Índia,,Bosque dos Buritis,Uberlândia/MG
38406-562,Alameda Pau Brasil,,Bosque dos Buritis,Uberlândia/MG
38406-576,Alameda Peroba do Campo,,Bosque dos Buritis,Uberlândia/MG
38406-568,Alameda Pitangueiras,,Bosque dos Buritis,Uberlândia/MG
38406-592,Alameda Tamareiras,,Bosque dos Buritis,Uberlândia/MG
38406-600,Avenida Jasmim do Campo,,Bosque dos Buritis,Uberlândia/MG
38406-582,Avenida Palmeira Imperial,,Bosque dos Buritis,Uberlândia/MG
38400-710,Avenida Afonso Pena,- de 2911/2912 a 4100/4101,Brasil,Uberlândia/MG
38400-734,Avenida Amazonas,- até 1469/1470,Brasil,Uberlândia/MG
38400-718,Avenida Brasil,- de 2113/2114 a 3934/3935,Brasil,Uberlândia/MG
38400-696,Avenida Cesário Alvim,- de 2877/2878 a 4312/4313,Brasil,Uberlândia/MG
38400-704,Avenida Floriano Peixoto,- de 3070/3071 a 4242/4243,Brasil,Uberlândia/MG
38400-714,Avenida João Pinheiro,- de 2502/2503 a 4049/4050,Brasil,Uberlândia/MG
38400-742,Avenida Levino de Souza,- até 1379/1380,Brasil,Uberlândia/MG
38400-738,Avenida Maranhão,- até 1386/1387,Brasil,Uberlândia/MG
38400-731,Avenida Mato Grosso,- de 1601/1602 a 2919/2920,Brasil,Uberlândia/MG
38400-750,Avenida Pará,- até 1355/1356,Brasil,Uberlândia/MG
38400-732,Avenida Professor José Inácio de Souza,- até 2058/2059,Brasil,Uberlândia/MG
38400-655,Avenida Rondon Pacheco,- lado ímpar,Brasil,Uberlândia/MG
38400-744,Avenida Terezina,- de 68/69 a 1268/1269,Brasil,Uberlândia/MG
38400-740,Praça Ana Diniz,,Brasil,Uberlândia/MG
38400-690,Praça da Participação,,Brasil,Uberlândia/MG
38400-692,Praça Hermínia Zucolli,,Brasil,Uberlândia/MG
38400-760,Rodovia BR-050,"- do Km 69,000 ao Km 70,598 - la",Brasil,Uberlândia/MG
38400-666,Rua Alagoas,- até 1643/1644,Brasil,Uberlândia/MG
38400-662,Rua Bahia,- até 1841/1842,Brasil,Uberlândia/MG
38400-673,Rua Ciganos do Brasil,,Brasil,Uberlândia/MG
38400-664,Rua Claudemiro José de Souza,- até 1611/1612,Brasil,Uberlândia/MG
38400-646,Rua Curitiba,,Brasil,Uberlândia/MG
38400-660,Rua Espírito Santo,- até 1577/1578,Brasil,Uberlândia/MG
38400-691,Rua Feliciano de Morais,- de 1500/1501 a 2299/2300,Brasil,Uberlândia/MG
38400-668,Rua José Alves Garcia,- até 1695/1696,Brasil,Uberlândia/MG
38400-670,Rua José Rezende dos Santos,- até 1859/1860,Brasil,Uberlândia/MG
38400-675,Rua Max Nordau de Rezende Alvim,,Brasil,Uberlândia/MG
38400-648,Rua Osório José da Cunha,- de 264/265 a 1584/1585,Brasil,Uberlândia/MG
38400-672,Rua Padre Américo Ceppi,- até 1717/1718,Brasil,Uberlândia/MG
38400-654,Rua Paraná,- de 137/138 a 1791/1792,Brasil,Uberlândia/MG
38400-674,Rua Pernambuco,,Brasil,Uberlândia/MG
38400-644,Rua Porto Alegre,- até 1132/1133,Brasil,Uberlândia/MG
38400-722,Rua Ricardo Siquierolli Tucci,,Brasil,Uberlândia/MG
38400-658,Rua Rio de Janeiro,- até 1917/1918,Brasil,Uberlândia/MG
38400-650,Rua Rio Grande do Sul,- de 240/241 a 1533/1534,Brasil,Uberlândia/MG
38400-652,Rua Santa Catarina,- de 0181/182 a 1837/1838,Brasil,Uberlândia/MG
38400-656,Rua São Paulo,- de 157/158 a 1569/1570,Brasil,Uberlândia/MG
38400-730,Travessa Maria Conceição Barbosa,,Brasil,Uberlândia/MG
38400-677,Travessa Papa João Paulo I,,Brasil,Uberlândia/MG
38400-728,Travessa Trinta e Um de Agosto,,Brasil,Uberlândia/MG
38410-004,Alameda Amisse Costa Bezerra,,Buritis,Uberlândia/MG
38410-010,Alameda Cristiane de Oliveira,,Buritis,Uberlândia/MG
38410-008,Alameda Denilson de Paula,,Buritis,Uberlândia/MG
38410-006,Alameda Elias Francisco de Andrade,,Buritis,Uberlândia/MG
38410-096,Alameda G-46,,Buritis,Uberlândia/MG
38410-098,Alameda G-47,,Buritis,Uberlândia/MG
38410-002,Alameda Ranulfo Ramiro da Silva Xavantinho,,Buritis,Uberlândia/MG
38410-000,Avenida Petronilha Rodrigues de Queiroz,,Buritis,Uberlândia/MG
38410-095,Praça Carmem Luciene Cassiano,,Buritis,Uberlândia/MG
38410-100,Rua G-48,,Buritis,Uberlândia/MG
38408-147,Alameda Arnolde de Almeida Castro,- lado ímpar,CEP Carajás Uberlândia/MG,Uberlândia/MG
38408-517,Alameda Arnolde de Almeida Castro,- lado par,CEP Lagoinha Uberlândia/MG,Uberlândia/MG
38408-563,Alameda Arnolde de Almeida Castro,- lado par,CEP Carajás Uberlândia/MG,Uberlândia/MG
38408-587,Avenida Emídia Saraiva,,Carajás,Uberlândia/MG
38408-680,Avenida João Naves de Ávila,- de 3632 a 4938 - lado par,Carajás,Uberlândia/MG
38408-582,Avenida Pampulha,,Carajás,Uberlândia/MG
38408-488,Praça Herckmar Borges,,Carajás,Uberlândia/MG
38408-520,Praça Ismael de Freitas,,Carajás,Uberlândia/MG
38408-598,Praça São Jorge,,Carajás,Uberlândia/MG
38408-597,Rua Álvares de Azevedo,,Carajás,Uberlândia/MG
38408-578,Rua Doze,,Carajás,Uberlândia/MG
38408-576,Rua Eurípedes Fernandes,,Carajás,Uberlândia/MG
38408-528,Rua Francisca Alves Rabelo,,Carajás,Uberlândia/MG
38408-594,Rua Galileu,,Carajás,Uberlândia/MG
38408-590,Rua Geralda Borges dos Santos,,Carajás,Uberlândia/MG
38408-592,Rua Guilhermina Simplícia Alves,,Carajás,Uberlândia/MG
38408-564,Rua Japão,,Carajás,Uberlândia/MG
38408-575,Rua João Felipe da Silva,,Carajás,Uberlândia/MG
38408-561,Rua José Malaquias dos Santos,,Carajás,Uberlândia/MG
38408-398,Rua Laura Guerra de Aquino,,Carajás,Uberlândia/MG
38408-560,Rua Luiz de Camões,,Carajás,Uberlândia/MG
38408-596,Rua Maracanã,,Carajás,Uberlândia/MG
38408-486,Rua Paissandu,,Carajás,Uberlândia/MG
38408-588,Rua Patativa do Assaré,,Carajás,Uberlândia/MG
38408-566,Rua Paulo VI,,Carajás,Uberlândia/MG
38408-146,Rua Pedro Ivo,- lado ímpar,Carajás,Uberlândia/MG
38408-595,Rua Porongaba,,Carajás,Uberlândia/MG
38408-526,Rua Professor Eudóxio Casassanta Pereira,,Carajás,Uberlândia/MG
38408-562,Rua São Judas Tadeu,,Carajás,Uberlândia/MG
38408-586,Rua Seis,,Carajás,Uberlândia/MG
38408-574,Rua Sete,,Carajás,Uberlândia/MG
38408-584,Rua Teotônio Rocha Figueira,,Carajás,Uberlândia/MG
38400-053,Avenida João Naves de Ávila,- de 268 a 1258 - lado par,Cazeca,Uberlândia/MG
38400-019,Avenida Rio Branco,- de 892/893 ao fim,Cazeca,Uberlândia/MG
38400-015,Avenida Rondon Pacheco,- lado ímpar,Cazeca,Uberlândia/MG
38400-040,Praça Ana Morais,,Cazeca,Uberlândia/MG
38400-039,Praça Bercário Gomes Correa,,Cazeca,Uberlândia/MG
38400-017,Praça Loja Maçônica Tiradentes,,Cazeca,Uberlândia/MG
38400-013,Praça Telmo Gomes Correa,,Cazeca,Uberlândia/MG
38400-035,Praça Tiradentes,,Cazeca,Uberlândia/MG
38400-046,Rua Adelino Franco,,Cazeca,Uberlândia/MG
38400-048,Rua Antônio Morais,,Cazeca,Uberlândia/MG
38400-014,Rua Camilo Braga,,Cazeca,Uberlândia/MG
38400-052,Rua Cruzeiro dos Peixotos,- de 838/839 ao fim,Cazeca,Uberlândia/MG
38400-038,Rua Diógenes Morais,,Cazeca,Uberlândia/MG
38400-011,Rua Eduardo de Oliveira,,Cazeca,Uberlândia/MG
38400-034,Rua Elmiro Gonçalves Pinto,,Cazeca,Uberlândia/MG
38400-020,Rua Geraldo Morais,,Cazeca,Uberlândia/MG
38400-054,Rua Gregôrio Pereira,,Cazeca,Uberlândia/MG
38400-012,Rua Hortêncio Moraes,,Cazeca,Uberlândia/MG
38400-010,Rua Joaquim Ferreira Braga,,Cazeca,Uberlândia/MG
38400-018,Rua José Morais,,Cazeca,Uberlândia/MG
38400-066,Rua José Nonato Ribeiro,,Cazeca,Uberlândia/MG
38400-028,Rua Maria Vilela Ribeiro,,Cazeca,Uberlândia/MG
38400-022,Rua Mário Rezende Ribeiro,,Cazeca,Uberlândia/MG
38400-044,Rua Pedro Crosara Cherulli,,Cazeca,Uberlândia/MG
38400-016,Rua Segismundo Morais,,Cazeca,Uberlândia/MG
38400-128,Avenida Afonso Pena,- até 568/569,CEP Centro Uberlândia/MG,Uberlândia/MG
38400-130,Avenida Afonso Pena,- de 570/571 a 980/0981,CEP Centro Uberlândia/MG,Uberlândia/MG
38400-706,Avenida Afonso Pena,- de 0982/983 a 1836/1837,CEP Nossa Senhora Aparecida Uberlândia/MG,Uberlândia/MG
38400-708,Avenida Afonso Pena,- de 1838/1839 a 2909/2910,CEP Nossa Senhora Aparecida Uberlândia/MG,Uberlândia/MG
38400-710,Avenida Afonso Pena,- de 2911/2912 a 4100/4101,CEP Brasil Uberlândia/MG,Uberlândia/MG
38405-309,Avenida Afonso Pena,- de 4102/4103 a 5018/5019,CEP Umuarama Uberlândia/MG,Uberlândia/MG
38405-348,Avenida Afonso Pena,- de 5020/5021 ao fim,CEP Alto Umuarama Uberlândia/MG,Uberlândia/MG
38400-103,Avenida Américo Salvador Tangari,,Centro,Uberlândia/MG
38400-096,Avenida Cesário Alvim,- até 451/452,CEP Centro Uberlândia/MG,Uberlândia/MG
38400-098,Avenida Cesário Alvim,- de 453/454 a 1404/1405,CEP Centro Uberlândia/MG,Uberlândia/MG
38400-694,Avenida Cesário Alvim,- de 1406/1407 a 2875/2876,CEP Nossa Senhora Aparecida Uberlândia/MG,Uberlândia/MG
38400-696,Avenida Cesário Alvim,- de 2877/2878 a 4312/4313,CEP Brasil Uberlândia/MG,Uberlândia/MG
38405-186,Avenida Cesário Alvim,- de 4314/4315 a 5098/5099,CEP Custódio Pereira Uberlândia/MG,Uberlândia/MG
38405-350,Avenida Cesário Alvim,- de 5100/5101 a 5598/5599,CEP Alto Umuarama Uberlândia/MG,Uberlândia/MG
38406-633,Avenida Cesário Alvim,- de 5600/5601 ao fim,CEP Granja Marileusa Uberlândia/MG,Uberlândia/MG
38400-106,Avenida Cipriano Del Favero,,Centro,Uberlândia/MG
38400-100,Avenida Floriano Peixoto,- até 557/558,CEP Centro Uberlândia/MG,Uberlândia/MG
38400-102,Avenida Floriano Peixoto,- de 559/560 a 893/894,CEP Centro Uberlândia/MG,Uberlândia/MG
38400-698,Avenida Floriano Peixoto,- de 895/896 a 1278/1279,CEP Nossa Senhora Aparecida Uberlândia/MG,Uberlândia/MG
38400-700,Avenida Floriano Peixoto,- de 1280/1281 a 2022/2023,CEP Nossa Senhora Aparecida Uberlândia/MG,Uberlândia/MG
38400-702,Avenida Floriano Peixoto,- de 2024/2025 a 3068/3069,CEP Nossa Senhora Aparecida Uberlândia/MG,Uberlândia/MG
38400-704,Avenida Floriano Peixoto,- de 3070/3071 a 4242/4243,CEP Brasil Uberlândia/MG,Uberlândia/MG
38405-184,Avenida Floriano Peixoto,- de 4244 a 4998 - lado par,CEP Custódio Pereira Uberlândia/MG,Uberlândia/MG
38405-310,Avenida Floriano Peixoto,- de 4245 a 4999 - lado ímpar,CEP Umuarama Uberlândia/MG,Uberlândia/MG
38405-373,Avenida Floriano Peixoto,- de 5000/5001 a 5509/5510,CEP Alto Umuarama Uberlândia/MG,Uberlândia/MG
38406-642,Avenida Floriano Peixoto,- de 5511/5512 ao fim,CEP Granja Marileusa Uberlândia/MG,Uberlândia/MG
38400-299,Avenida Getúlio Vargas,- até 749 - lado ímpar,Centro,Uberlândia/MG
38400-042,Avenida João Naves de Ávila,- até 266 - lado par,CEP Centro Uberlândia/MG,Uberlândia/MG
38400-053,Avenida João Naves de Ávila,- de 268 a 1258 - lado par,CEP Cazeca Uberlândia/MG,Uberlândia/MG
38400-097,Avenida João Naves de Ávila,- até 707 - lado ímpar,CEP Centro Uberlândia/MG,Uberlândia/MG
38400-600,Avenida João Naves de Ávila,- de 709 a 1299 - lado ímpar,CEP Nossa Senhora Aparecida Uberlândia/MG,Uberlândia/MG
38405-140,Avenida João Naves de Ávila,- de 1301 a 1441 - lado ímpar,CEP Tibery Uberlândia/MG,Uberlândia/MG
38408-100,Avenida João Naves de Ávila,- de 1260 a 3630 - lado par,CEP Saraiva Uberlândia/MG,Uberlândia/MG
38408-144,Avenida João Naves de Ávila,- de 1443 a 3845 - lado ímpar,CEP Santa Mônica Uberlândia/MG,Uberlândia/MG
38408-288,Avenida João Naves de Ávila,- de 3847 a 5961 - lado ímpar,CEP Santa Mônica Uberlândia/MG,Uberlândia/MG
38408-311,Avenida João Naves de Ávila,- de 5963 ao fim - lado ímpar,CEP Segismundo Pereira Uberlândia/MG,Uberlândia/MG
